order_id,order_quantity,seller_id,product_id,product_price,product_name,buyer_id,first_name,last_name,email,address,city,country,cc_number,cc_exp,review,rating,seller_name,seller_country,order_date
130014,10,32344,60657,16858,"Astonishing Teddy bear",14369,Rita,Biyinzika,rod76@hotmail.com,"69857 Atukunda Court Suite 832",Kaberamaido,Uganda,4556896484942538,11-2027,"Et provident nemo neque saepe tempore.",2.5,"Lehner Inc",Uganda,12-15-2024
130015,5,40518,114506,3493,"Dreamy Transmission fluid",6154,Remilekun,Adewunmi,mayert.joaquin@yahoo.com,"76 Ajose-adeogun Street",TokeVille,Nigeria,4716912128660738,03-2029,"Qui explicabo fugiat ipsam totam.",1,Casper-Wiza,Uganda,06-28-2021
130016,7,34220,58781,15150,"Unexceptional Biotin",11400,Alpa,Pal,koconner@keebler.net,"75, Ritika Nagar,",Vishakhapattanam,India,2604469100459075,04-2028,"Voluptates quas asperiores explicabo nesciunt et id ullam autem.",2,"Ondricka and Sons","Hong Kong",11-03-2025
130017,3,42187,108577,11649,"Monotonous Duffle bag",2571,Jaswant,Pillay,amani.jacobson@padberg.com,"87, Mehul Heights, AnjanaPur",Gandhinagar,India,343096866746500,02-2027,"Nam id dolores qui velit.",2,Mann-Abernathy,"New Zealand",04-13-2024
130018,4,42157,109916,2983,"Unstimulating Ruler",25137,Hira,Ramakrishnan,qmayer@hotmail.com,"58, Goregaon,","New Delhi",India,4556269563951277,12-2027,"Maxime eum rerum optio ut similique quaerat voluptatem.",2.5,Kris-Mertz,Philippines,07-12-2022
130019,9,31751,61250,2384,"Inexpressive Zinc",4385,Berta,Mbabazi,pagac.evie@yahoo.com,"35533 Tusiime Trail Suite 261",Ntungamo,Uganda,341912609968544,04-2026,"Velit quam sed odio quasi ut.",1,"Ruecker Inc","Hong Kong",07-28-2024
130020,4,36132,121491,13707,"Astounding Razor",11207,Onoriode,Bamisebi,bernier.cathryn@stark.biz,"58 Esther Street",AyebatariVille,Nigeria,4929786104071521,06-2028,"Neque perspiciatis dignissimos iste non.",1.5,Torphy-Marvin,Philippines,02-10-2025
130021,6,36281,87544,1816,"Generic Chalice",21239,Hermann,Windler,boyle.myrl@yahoo.com,"97 Fak Pa","New Territories","Hong Kong",4716878501183921,08-2027,"Excepturi omnis et vero aut.",4.5,"Dooley, Beer and Koss","Hong Kong",01-26-2026
130022,8,35136,82908,3629,"Blah Cymbals",11517,Carol,Hand,yost.justyn@wolff.net,"83 Meng Tok North Circuit","New Territories","Hong Kong",2566714508746482,08-2027,"Et perferendis sunt corporis.",3.5,Kutch-Wyman,"Hong Kong",07-07-2021
130023,9,45548,75859,10455,"Typical Dishware",21996,Lavina,Deckow,leon.pacocha@walsh.com,"58 Tsek Pa Neung San Tsuen","Hong Kong","Hong Kong",371689335565041,06-2027,"Nihil officia autem nemo mollitia.",3,Brown-Rath,Singapore,06-29-2025
130024,5,34796,58205,11626,"Unusual Amulet",28857,Darrel,Stanton,kasey.kihn@hotmail.com,"86 Canton Path East","New Territories","Hong Kong",3589428954188195,08-2026,"Aperiam ipsam et accusantium quibusdam nemo.",3,Feest-Kovacek,"New Zealand",10-01-2021
130025,4,37921,68838,3844,"Lavish Paints",4681,Chinyere,Grace,shanahan.urban@cremin.com,"94 Onohinosen Street",AugustinaVille,Nigeria,2528330380342352,07-2027,"Modi porro quia nihil repudiandae omnis rem.",1,"Hirthe Inc",Nigeria,05-19-2025
130026,1,39106,74155,18289,"Spellbound Glitter",1594,Ardith,Haag,corkery.golda@yahoo.com,"1819 O'Connell Dam",Hildegardmouth,"United States",5105266096876156,08-2028,"Eum ex magni debitis.",1,"Flatley, Cruickshank and Lehner",Nigeria,09-08-2023
130027,5,40568,76897,17665,"Uninspiring Camp axe",9828,Brenda,Park,icorwin@bosco.biz,"6975 Naidoo Rue","North Antoinettemouth","South Africa",4556448009524555,03-2027,"Sunt in labore autem.",2.5,"Hane, Considine and Schinner",Uganda,04-07-2022
130028,9,33526,59475,11224,"Absurd Hat",17570,Caroline,Schaefer,flossie.zemlak@koss.biz,"843 Edythe Avenue",Babyville,"New Zealand",5365158558927434,05-2026,"Eum similique sunt tempora minus.",3,"Upton and Sons","United Kingdom",08-30-2022
130029,10,40969,111161,15068,"Alluring Synthesizer",16144,Abdiel,Davis,alexandria.torp@hotmail.com,"52 Tiu Neung","New Territories","Hong Kong",6011153586726649,08-2027,"Beatae dolor veniam magni distinctio deleniti enim molestiae.",3.5,Heller-Larson,Nigeria,06-13-2022
130030,7,39843,76187,19856,"Majestic Coenzyme Q10",759,Omari,Greenholt,alek77@hayes.com,"68 Destini Line",Geneston,"New Zealand",6011820775442945,04-2027,"Et id ducimus minus a.",1,"Feest PLC","Hong Kong",10-31-2023
130031,5,44542,126202,2972,"Supernatural Shoes",23029,Hayley,Runolfsson,evans.mohr@lang.com,"49733 Larson Orchard",Codymouth,"United States",4539716598302969,12-2027,"Natus excepturi et quas et porro molestiae.",5,Becker-Zulauf,"Hong Kong",10-24-2023
130032,9,34454,74765,13439,"Uncanny Garter",10946,Benton,Armstrong,haley.oceane@ruecker.org,"55 Tsat Chim East Lane","New Territories","Hong Kong",4024007106429466,10-2027,"Alias atque eos nostrum qui assumenda eum.",1,"Larkin PLC",Philippines,08-03-2022
130033,10,35233,101682,1842,"Insipid Chair",29202,Frida,Bergnaum,soconner@gmail.com,"3 Robel Way",Augustaston,"New Zealand",3528083579488514,03-2029,"Aut a aut autem et.",5,Schiller-Braun,"United States",07-09-2021
130034,8,35712,69207,18086,"Unobtrusive Bear canister",29841,Arthur,Dibbert,ocorkery@yahoo.com,"Block 67, Wui Sok Estate",Kowloon,"Hong Kong",2221871403881322,01-2027,"At suscipit accusantium aut et dolorem.",3.5,"Bednar, Kiehn and Kris","New Zealand",09-08-2021
130035,9,35683,69887,12045,"Drab Markers",16621,Haleigh,Wiza,mosciski.araceli@zulauf.com,"2095 Renner Dale",Friesenborough,"United States",6011309379282360,05-2028,"Tenetur quis sint magni est culpa ad necessitatibus.",2.5,"Waelchi, Larkin and Runte",Singapore,10-31-2021
130036,5,41637,51364,4649,"Jubilant Cat tower",7387,Nazir,Garg,mohr.julius@mcdermott.org,"86, KaminiGunj,","New Delhi",India,6011988284972924,11-2026,"Qui modi id qui omnis.",1,"Weimann, Stroman and Lueilwitz",Uganda,06-24-2021
130037,10,39345,91368,4846,"Sensational Cymbals",3523,Danny,Barton,gjohnson@bauch.com,"14 Monahan Drive",Amieville,"New Zealand",2221168324556889,03-2029,"Et qui vel unde aperiam dolorem ut.",3.5,"Koepp, Franecki and Beer","Hong Kong",09-11-2024
130038,5,33721,121514,1639,"Unadorned Cufflinks",13377,Ambrose,Kafeero,oconner.leilani@yahoo.com,"3631 Melisa Valleys Suite 128",Bukedea,Uganda,4716133683609792,06-2028,"Unde et qui est magnam.",1.5,Boyer-Kassulke,Nigeria,07-14-2024
130039,4,34160,71406,3592,"Conventional Pocket saw",1630,Kristina,Hermiston,morissette.ray@shields.net,"3342 Elva Cove Apt. 568","Port Michelle","United States",4532340984935949,07-2028,"Ea saepe laborum maiores ut voluptas.",1,Volkman-Fahey,Nigeria,12-22-2024
130040,7,37680,64618,2319,"Eclectic Bed",20846,Aarif,Patil,ebert.percival@luettgen.com,"46, ManpreetPur,",Nashik,India,5288174760091574,05-2026,"Enim sed reprehenderit minima sint.",2,"Price, Gislason and Dooley","New Zealand",01-25-2025
130041,1,36800,110130,2839,"Vibrant Map",7249,Frederic,Fritsch,umorissette@yahoo.com,"755 O'Reilly Rise",Ashleyville,"New Zealand",2563782355603752,10-2028,"Adipisci nemo aliquid qui iusto voluptate omnis.",3.5,"Mante, Zieme and Schoen",Uganda,08-11-2024
130042,10,43835,109080,3009,"Strange Mallet",23665,Laurel,Grady,zcrooks@yahoo.com,"91 Tsak Uk Kik North Avenue","Hong Kong","Hong Kong",4916173005771,02-2028,"Accusantium et nemo quaerat suscipit culpa ducimus.",1,Kihn-Herzog,Uganda,08-13-2022
130043,10,43790,49211,10198,"Hypnotic Blazer",16553,Kim,Nigam,alfredo92@treutel.com,"29, Sodala,",Gurgaon,India,4916702019103,11-2027,"Eligendi odio nobis architecto expedita vero.",2.5,Effertz-Dickinson,India,01-20-2022
130044,1,45835,79276,3250,"Ordinary Spoon",28459,Karolann,Upton,igerhold@gmail.com,"89111 Bartell Groves","North Gildaview","United States",4485795598151133,10-2026,"Velit omnis atque alias iusto neque sunt in.",2,"Hill, Borer and Schumm",India,04-18-2022
130045,6,45049,124784,2767,"Puzzling Can opener",15167,Emran,Rana,ewell03@yahoo.com,"41, Bandra,",Bikaner,India,5569444756188969,10-2026,"Et placeat quaerat temporibus accusamus unde.",3.5,Bergnaum-O'Hara,"United States",06-19-2024
130046,2,42969,76925,15784,"Alluring Grimoire",21390,Sushmita,Oak,miles.veum@rogahn.com,"94, MuktiPur,",Hisar,India,4099556905842840,04-2028,"Explicabo pariatur ea nulla reiciendis.",3.5,"Schmitt, Davis and Littel",Nigeria,05-24-2023
130047,2,40647,52354,3708,"Mystical Collar",22947,Akunna,Elizabeth,chaim30@koelpin.biz,"14 Omolara Street",TobilobaVille,Nigeria,5199755170955495,11-2026,"Quidem aliquam animi et ad deleniti sed deserunt numquam.",1,Gerlach-Hartmann,Nigeria,07-18-2023
130048,6,43608,93115,19856,"Uninspiring Hat",28150,Marvin,Bahringer,smith.estell@hotmail.com,"58037 Roselyn Plaza Apt. 197",Samanthafort,"United States",4929689307057398,03-2027,"Fuga esse sunt et aut rerum unde.",2,"Bernier, Cassin and Balistreri",Philippines,04-10-2025
130049,2,39494,66250,2935,"Luminous Ab roller",9331,Sigurd,Bechtelar,hbrown@casper.com,"81 Hugh Crescent",Arthurville,"New Zealand",4929314517679,02-2028,"Tempora reprehenderit hic ex est doloremque.",1,Bradtke-Orn,Singapore,06-04-2023
130050,4,40462,96597,19376,"Eerie Calcium",1236,Jalon,Dicki,bkovacek@morar.com,"41639 Joana Ford",Katarinafort,"United States",2658177905417736,12-2026,"Sit iure laboriosam est eveniet praesentium est.",2.5,"Wisoky, Pagac and Wehner","New Zealand",09-09-2023
130051,2,37378,90370,2846,"Average Goblet",10124,Tess,Nkurunungi,hudson.rylan@hotmail.com,"7470 Nuwagaba Neck Apt. 391",Buikwe,Uganda,4485809854342722,01-2027,"Minus eius ea ea commodi.",2,Hahn-Hamill,India,03-22-2022
130052,8,32698,60303,18073,"Lackluster Earbuds",283,Kade,Goyette,mohammed26@bahringer.com,"02A/85 Spinka Mission",Vigan,Philippines,4151593609928927,08-2026,"Sed voluptatem reiciendis qui repellat amet.",1.5,"Wolff, Satterfield and Goodwin",India,01-12-2025
130053,5,45507,82353,14304,"Forgettable Push-up handles",5988,Daren,Wavamuno,cleo66@yahoo.com,"35750 Patience Square",Kaliro,Uganda,5180057805289619,02-2029,"Et commodi libero eveniet saepe consequuntur corporis.",3.5,"Gorczany, Quitzon and Raynor","United States",06-13-2021
130054,5,41723,79772,1382,"Plain Car battery charger",19324,Breanna,Bradtke,rau.kathryne@hotmail.com,"43 Chiu Tsat","New Territories","Hong Kong",5463751931810714,09-2028,"Quis fuga quis consequuntur dolorem nostrum quo vitae.",3,Buckridge-Mraz,Philippines,12-26-2021
130055,9,41575,89110,4944,"Exquisite Triangle",3500,Jane,Doe,dare.harrison@hotmail.com,"Jalan Doe Road",JaneVille,Singapore,5474755434804105,07-2027,"Expedita dolore autem rerum odit molestiae excepturi qui.",2.5,"Fritsch, Schmitt and Feest",Uganda,05-09-2025
130056,3,40330,102813,19299,"Sorcerous Screwdriver",19382,Lola,Abosede,dietrich.danny@rath.com,"23 Oluwanisola Street",TitilopeVille,Nigeria,6011909841923309,09-2026,"Suscipit voluptates quo dolorem corrupti nihil quo et natus.",2,"Gutmann, Kunze and Blanda","United States",07-17-2023
130057,10,33522,65277,12931,"Witching Toaster",19333,Dane,Rodriguez,pstoltenberg@harber.com,"718 Roob Extension Suite 293","North Chetton","United States",4926708494324115,02-2027,"Nulla minus et commodi magnam nostrum unde.",5,"Smitham Group","United States",06-22-2024
130058,10,37050,121219,18394,"Unstimulating Leash",15942,Krishna,Garde,ymonahan@yahoo.com,"62, Kirti Apartments, RitikaPur",Mumbai,India,4532833422581986,12-2027,"Quam nesciunt et odit voluptas eius.",2,Nienow-Kling,Philippines,08-09-2024
130059,3,39287,126595,14810,"Legendary Garter",6335,Samson,Kabuye,watsica.micah@koepp.info,"98096 Okumu Glens Suite 577",Kagadi,Uganda,4024007128654265,05-2027,"Esse illo voluptatum aut sint.",5,"McKenzie, Hoppe and Kozey","United States",09-25-2024
130060,9,37872,67649,11831,"Mystical Calculator",17599,Duane,Pfannerstill,nick.glover@yahoo.com,"798 Alessia Well Suite 824",Anabellemouth,"United States",5586711131060207,06-2027,"Et tempore deleniti consequatur quis dolorem non.",1.5,"Bogan, Jaskolski and Tillman",India,05-08-2024
130061,2,33171,72559,14124,"Fantastic Aerobic step",5566,Deshaun,Considine,ghill@deckow.com,"242 Effertz Squares","New Burleyfurt","United States",2419021067539525,05-2028,"Non laboriosam labore in.",4,Lind-Cole,Uganda,02-13-2022
130062,2,34516,81819,15532,"Conventional Ladle",20365,Mowgli,Pal,jaqueline60@wehner.com,"10, Sodala,",Mysore,India,6011386447044352,06-2027,"Voluptas sit aut temporibus voluptas et ut.",3,Little-Haley,Uganda,07-05-2021
130063,7,36459,108138,2159,"Fascinating Socks",29388,Lenny,Hand,jhammes@bins.org,"80 Borer Quay",Hailieston,"New Zealand",6011806515322570,12-2027,"Molestiae consequuntur voluptatibus ut consectetur expedita et et.",4,"Towne, Pagac and Rogahn",Nigeria,10-11-2021
130064,10,43630,124755,17211,"Awe-inspiring Shoes",13552,Kathleen,Will,qbrown@hotmail.com,"Block 83, Mong Lip Court",Kowloon,"Hong Kong",2720199970029471,03-2027,"Nihil animi dignissimos consectetur quidem porro ducimus vel.",3,Swift-Greenfelder,India,12-09-2021
130065,6,45213,47788,1039,"Supernatural Speaker",13195,Maisie,Martin,ogusikowski@steuber.com,"81 Darren Lock","East Jodieberg","United Kingdom",4485075529569251,01-2029,"Voluptatem ipsam itaque omnis distinctio quis.",5,Schuster-Gusikowski,"New Zealand",05-24-2022
130066,1,36284,56717,13893,"Awe-inspiring Stapler",7012,Adaugo,Tolulope,gaylord.diamond@hotmail.com,"68 Jamiu Street",AzubuikeVille,Nigeria,346502331190882,06-2027,"Et praesentium amet aperiam provident facilis tempore.",1,"Batz, Hickle and Nikolaus",India,05-19-2024
130067,8,39221,94393,16574,"Ornate Ticket",1031,Kajol,Sarraf,katlynn.rodriguez@gleichner.net,"88, Bandra,",Ratlam,India,4556371794907,01-2029,"Qui iure consequatur earum cum nostrum sed.",3.5,"Kautzer Ltd","Hong Kong",10-17-2021
130068,7,41056,51945,12304,"Turbulent Folders",25024,Camille,Hartmann,jaron39@dooley.biz,"2892 Maverick Point","East Wilmabury","United States",4983411390055822,07-2026,"Porro quia facere ipsum dicta sed eum enim.",5,Lind-Hand,Nigeria,07-26-2022
130069,1,34970,128668,4821,"Dramatic Travel blanket",17156,Dipti,Sant,xmertz@dach.com,"82, Jayshree Society, ZaadPur",Ahmedabad,India,6011406475848480,02-2027,"Iste mollitia sunt ipsum.",2,"Schamberger, Windler and Feest",Nigeria,10-30-2024
130070,1,42357,50644,1998,"Unchanging Spoon",25624,Geoffrey,Hintz,leo49@gmail.com,"4356 Mante Hill Apt. 596",Kaseybury,"United States",4929339054338969,01-2027,"Illum maxime alias dignissimos similique.",4.5,Sipes-Kozey,Philippines,10-09-2021
130071,8,36891,112049,15202,"Unadorned Necklace",26588,Nirmal,Randhawa,gschinner@hotmail.com,"63, Radhe Apartments, Mini Chowk",Raipur,India,4556845079747331,12-2027,"Maxime atque praesentium quo et id vel delectus.",5,Tillman-Carroll,"Hong Kong",07-27-2021
130072,2,31774,61227,13150,"Unforgettable Foam roller",5511,Mini,Kannan,umills@hotmail.com,"45, Bandra,",Mumbai,India,4835159678223766,11-2028,"Et quos suscipit aliquam fugit nam illo ea sunt.",1,"Sanford, Schumm and Kreiger","Hong Kong",04-28-2025
130073,3,32466,89594,4787,"Lackluster Jumper cables",20170,John,Doe,sally.schowalter@hermann.com,"Jalan Doe Quay",JohnVille,Singapore,5362503013720317,02-2027,"Est consequuntur quo debitis eum explicabo explicabo pariatur natus.",1,Von-Kuhn,Nigeria,02-22-2026
130074,9,41400,108235,12146,"Insipid Toothbrush",10333,Manuela,Gottlieb,gschimmel@satterfield.com,"1 Augusta Highway",Pinkieston,"New Zealand",4532024203362909,12-2027,"In ipsa accusantium ut in dolores enim et.",2,Harvey-Kerluke,Uganda,10-23-2022
130075,8,35660,100124,2998,"Tasteless Bowl",645,Norbert,Glover,harris.alexanne@kautzer.org,"779 Al Quay",Margaretteston,"New Zealand",343360122245719,03-2029,"Esse quia et rerum magnam dolorum quis.",5,Fay-Berge,"United States",10-06-2025
130076,4,37151,86038,2589,"Unusual Glue",21579,Dasia,Homenick,kirsten17@effertz.com,"67 Tik Lau Tip San Tsuen",Kowloon,"Hong Kong",5119175243886626,04-2028,"Qui temporibus eum ratione mollitia nihil nobis quia.",1.5,Howell-Waelchi,Uganda,07-18-2023
130077,2,33710,105601,17477,"Dissonant Vitamin B12",4694,Bulah,Strosin,otha20@yahoo.com,"63 Sue Shut Nuk Village","Hong Kong","Hong Kong",2524963330236631,04-2026,"Quod ea reprehenderit consequuntur earum quia tempora qui est.",1,Becker-Goyette,Uganda,01-06-2023
130078,8,38934,54067,18473,"Majestic Shelf",19634,Francois,Mthombeni,agustina05@bergnaum.com,"802 Coetzee Station",Lourenston,"South Africa",4532936416636409,10-2027,"Nesciunt et reiciendis deserunt aspernatur qui tempore.",4,Hagenes-Ziemann,India,03-04-2024
130079,8,38418,72188,4900,"Lackadaisical Eyeliner",29333,Ifunanya,Gbogboade,juanita66@hotmail.com,"89 David Street",FatimaVille,Nigeria,6011587510318173,10-2028,"Sed accusamus dolores pariatur voluptatibus officiis non adipisci.",2.5,Dicki-Dibbert,India,03-20-2022
130080,2,35545,127170,1919,"Enchanting Glass",25505,Jane,Doe,towne.elton@parker.org,"Doe Quay Lane",JaneVille,Singapore,4024007150047511,09-2028,"Aliquid temporibus placeat quae laborum expedita consectetur.",3.5,"Hintz and Sons","New Zealand",10-30-2025
130081,6,45759,47242,3101,"Blissful Printer",24932,Mohit,Babu,xferry@kunde.com,"89, Baldev Apartments, IndraniGarh",Jodhpur,India,4929321223240953,12-2026,"Sed qui animi id a enim maiores.",1,Marquardt-Kshlerin,"United States",12-28-2024
130082,3,44943,86284,2964,"Mesmerizing Synthesizer",3287,Jane,Doe,bradtke.birdie@leffler.com,"Doe Way Link",JaneVille,Singapore,4539909805991167,12-2028,"Tempore eius quisquam molestias fugit ad omnis qui sed.",3,Koch-Gibson,India,04-01-2022
130083,2,40362,52639,19064,"Charming Glass",24011,Eileen,O'Reilly,jazmyn37@yahoo.com,"77 Nip Ma Peng","New Territories","Hong Kong",2675490895810201,09-2027,"Id quia cupiditate distinctio deserunt eos.",3.5,"Johnson, Jaskolski and O'Kon",Uganda,10-23-2022
130084,2,37816,84201,10234,"Tolerable Sleeping bag",6487,Beaulah,Koch,voreilly@hotmail.com,"390 Josiah Vista","New Caleigh","United States",2657228670256675,03-2028,"Enim officia nulla dolor possimus.",5,Bode-Homenick,"Hong Kong",09-10-2022
130085,2,42173,118983,17845,"Lifeless Notepad",5479,Jacklyn,Twasiima,wlindgren@yahoo.com,"463 Wilma Bypass Suite 549",Ibanda,Uganda,5371687667980787,10-2026,"Deserunt alias corrupti eaque atque commodi vitae.",5,"Fay, Bechtelar and Lemke",Philippines,01-29-2023
130086,6,45099,85517,19069,"Uninspiring Easel",9214,Myrtis,Powlowski,sonya50@olson.com,"12 Shiu Tiu Tsui Village","New Territories","Hong Kong",4024007144591,10-2026,"Reiciendis quae perferendis dolorem dolor ea.",2.5,Botsford-Haley,India,02-28-2023
130087,9,31027,117668,1052,"Standard Makeup",13703,Jovany,Conroy,vergie60@halvorson.com,"87 Kap Seng Tap Village","Hong Kong","Hong Kong",4485232236942,07-2028,"Molestiae vitae rerum saepe est vero voluptatibus non eum.",3.5,"Schamberger, Bednar and Deckow","Hong Kong",05-20-2022
130088,2,44684,116063,10383,"Uneventful Brooch",26126,Clark,Labadie,nicholaus41@harber.com,"6267 Yazmin Mount Apt. 596",Hollisbury,"United States",5555527411258643,04-2028,"Recusandae reprehenderit et ipsum iure.",1.5,"Cole, Zemlak and McKenzie",Singapore,10-31-2022
130089,10,44619,121658,4624,"Inexpressive Cloak",1219,Ellen,Twesigomwe,jgreen@harber.com,"91103 Amelia Land",Kiryandongo,Uganda,4916978254049549,05-2027,"Est maxime accusantium qui deleniti.",3.5,"Howell Ltd","Hong Kong",01-06-2024
130090,4,36739,56262,2992,"Commonplace Chair",25181,Laveena,Narasimhan,eichmann.brisa@gmail.com,"27, RahimGunj,",Kolkata,India,4716946953678225,05-2027,"Aut occaecati modi fugiat natus maxime deleniti qui.",1,"Powlowski, Rowe and Rodriguez",Nigeria,12-29-2025
130091,10,35669,111726,3225,"Commonplace Camping chair",25912,Arthur,Schaden,dare.luna@fay.com,"9 Garret Street",Ginoville,"New Zealand",371487584953970,07-2026,"Repudiandae consectetur et nihil quia.",3.5,"Mann, Heller and Herman",Singapore,02-18-2023
130092,5,40591,90783,10616,"Unadorned Stuffed animal",4270,Ahmad,Kijjoba,goodwin.marilie@gmail.com,"61049 Lawrence Ridge",Mpondwe,Uganda,2547704710099295,02-2029,"Ut aperiam at libero incidunt quaerat nesciunt rerum et.",1.5,"Stoltenberg PLC","New Zealand",07-01-2021
130093,1,34004,58997,13052,"Bittersweet Smartwatch",5690,Nikita,Dar,wroberts@cremin.biz,"92, Aabha Nagar,",Kolkata,India,2221108760912691,12-2028,"Nulla nostrum facilis ut doloremque blanditiis.",1,"Cartwright Inc","New Zealand",11-05-2024
130094,3,31843,71390,1358,"Macabre Key",2203,John,Doe,annie.roob@abernathy.org,"Jalan Doe Bridge",JohnVille,Singapore,4317496671993129,12-2027,"Rem magnam provident amet asperiores amet.",4.5,Nienow-Schuster,"Hong Kong",09-01-2024
130095,10,36080,124650,1972,"Vibrant Valerian root",27279,Maye,Bernier,dario.flatley@zulauf.org,"931 Bednar Forest Apt. 067",Beerstad,"United States",4458730306279408,09-2027,"Quia qui unde expedita est eum ut neque.",5,"Denesik Inc",India,10-21-2023
130096,5,32004,79880,3534,"Gritty Mascara",15634,Johnson,Onose,wkuphal@hotmail.com,"82 Babatunde Street",WaleVille,Nigeria,5280075261950663,08-2027,"Et quis soluta consequatur sunt.",2.5,Lueilwitz-Mills,"South Africa",09-08-2024
130097,5,40768,89574,3049,"Typical Modem",8229,Lyda,Cassin,peter24@schinner.com,"33 Nim Pit Han Wai",Kowloon,"Hong Kong",4539043593370168,07-2026,"Ut ut aliquid veniam labore.",1,"Pfeffer, Dach and Emard","United States",06-08-2021
130098,3,43924,98378,2768,"Rhapsodic Camping hammock",29053,Bruce,Byaruhanga,rosendo.cummings@hills.org,"91758 Bukenya Row",Kapchorwa,Uganda,4102525682981910,11-2027,"Voluptatibus iure et facilis pariatur corporis libero.",1,Boehm-Kassulke,"New Zealand",06-06-2022
130099,8,43169,97986,4337,"Sorcerous Easel",22339,Lisandro,Hilpert,vstreich@yahoo.com,"28 Nei Circuit","New Territories","Hong Kong",5292803618083532,01-2027,"Quaerat quod dolorem cupiditate ut est dolores vel.",2,Stracke-Barton,Singapore,06-28-2023
130100,3,35045,57956,1872,"Repetitive Towel",21003,Javed,Kaul,christina.stiedemann@renner.com,"33, Taahid Heights, SameeraGarh","New Delhi",India,5523256217362214,01-2028,"Et reprehenderit molestiae ullam sit qui consequatur laborum.",3.5,"Gutmann Inc","Hong Kong",05-08-2024
